Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.235,9.6,5.0,7.15,3.572,4.77,3.0,0.53,1.447,1.217,1.868,3.956,16.547,-1.341,-1.426,31.91,-33.36,3.76,19.17,-0.04,200.0,59.0,0.006,8.103
0.235,14.6,6.0,9.0,3.741,8.0,6.0,0.6,0.623,-0.227,0.842,1.655,21.481,-3.853,-0.718,25.57,-33.51,33.5,17.8,-0.01,200.0,59.0,0.006,0.0
0.235,16.1,6.0,9.0,3.613,8.0,6.0,0.6,0.987,0.2,1.282,1.855,22.952,-5.521,-4.515,18.28,-70.42,39.85,-10.25,-0.23,200.0,59.0,0.006,0.0
0.245,15.4,5.0,7.74,3.461,5.14,2.0,0.11,1.903,1.721,3.488,6.176,22.405,0.334,-1.834,-0.71,-15.49,-9.76,-11.58,0.01,200.0,59.0,0.006,13.553
0.245,14.7,5.0,7.71,3.475,5.1,7.0,0.13,1.884,1.593,3.312,5.658,21.57,6.252,1.502,-23.55,50.3,-58.99,-11.2,-0.4,200.0,59.0,0.006,12.885
0.245,14.5,5.0,7.71,3.479,5.05,5.0,0.14,1.74,1.53,3.168,5.89,21.395,-0.09,1.643,-41.12,34.92,13.82,-25.42,0.15,200.0,59.0,0.006,12.685
0.245,14.0,5.0,7.65,3.488,5.08,5.0,0.16,1.793,1.497,3.059,5.36,20.918,0.929,-6.105,6.07,-56.38,-32.0,-31.33,-0.33,200.0,59.0,0.006,12.248
0.245,12.9,5.0,7.5,3.508,5.02,4.0,0.22,1.509,1.324,2.751,5.176,19.917,-3.401,-0.142,3.48,-16.52,36.03,2.14,0.13,200.0,59.0,0.006,11.212
0.245,12.0,5.0,7.4,3.524,4.97,5.0,0.29,1.501,1.169,2.503,4.702,18.982,-0.443,-9.17,42.59,-108.19,-33.9,-18.36,0.02,200.0,59.0,0.006,10.375
0.245,11.5,5.0,7.3,3.533,4.94,4.0,0.34,1.469,1.161,2.357,4.53,18.403,0.571,1.151,-2.5,14.25,-1.87,4.74,0.06,200.0,59.0,0.006,9.907
0.245,10.4,5.0,7.3,3.555,4.84,7.0,0.46,1.506,1.17,2.071,4.103,17.392,1.428,-2.564,35.82,-35.65,-30.63,15.37,-0.22,200.0,59.0,0.006,8.839
0.245,16.1,5.0,7.8,3.48,5.25,5.0,0.1,1.752,1.601,3.194,5.682,22.987,3.522,-1.252,18.77,-6.8,-46.02,8.6,0.02,200.0,59.0,0.006,0.0
0.245,16.1,5.0,7.8,3.48,5.25,7.0,0.1,1.882,1.562,3.213,5.524,23.069,-1.693,-0.375,18.44,-19.16,13.96,13.56,-0.38,200.0,59.0,0.006,0.0
0.245,16.9,5.0,7.8,3.475,5.27,3.0,0.09,1.784,1.614,3.3,5.796,23.763,2.507,-1.065,4.31,-2.09,-31.76,-2.68,-0.01,200.0,59.0,0.006,0.0
0.245,17.4,5.0,7.85,3.466,5.29,4.0,0.09,1.799,1.861,3.443,6.022,24.271,0.943,1.742,-33.69,36.35,1.57,-18.45,-0.01,200.0,59.0,0.006,0.0
0.245,17.8,5.0,7.85,3.455,5.3,3.0,0.09,1.932,1.977,3.625,6.331,24.74,4.393,-0.242,-4.35,17.29,-48.01,-5.18,0.0,200.0,59.0,0.006,0.0
0.255,14.8,5.0,7.71,3.473,5.09,5.0,0.13,1.853,1.583,3.322,5.777,21.791,-1.164,-1.003,-4.06,-12.62,10.38,-9.72,-0.19,200.0,59.0,0.006,12.985
0.255,14.6,5.0,7.71,3.477,5.08,7.0,0.14,1.814,1.537,3.241,5.691,21.73,2.799,-3.02,20.6,-27.81,-46.14,-1.15,-0.13,200.0,59.0,0.006,12.785
0.255,14.0,5.0,7.65,3.488,5.08,2.0,0.16,1.663,1.46,3.042,5.66,21.105,-0.453,0.83,3.53,4.5,7.47,8.19,0.13,200.0,59.0,0.006,12.248
0.255,13.9,5.0,7.65,3.49,5.04,6.0,0.16,1.763,1.464,3.024,5.337,20.966,-1.462,0.121,0.86,-5.29,16.88,1.49,-0.27,200.0,59.0,0.006,12.148
0.255,13.8,5.0,7.65,3.492,5.05,6.0,0.17,1.764,1.465,2.991,5.278,20.905,1.653,-1.708,-13.34,-3.34,-22.49,-22.07,-0.31,200.0,59.0,0.006,12.048
0.255,12.3,5.0,7.4,3.518,5.0,6.0,0.26,1.603,1.25,2.529,4.71,19.42,-2.493,-4.717,32.83,-72.14,5.82,-1.24,-0.21,200.0,59.0,0.006,10.675
